Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  7.59      8.55     8.55 20188179     0.00     0.00  map_heights(std::set<int, std::less<int>, std::allocator<int> > const&, int)
  4.35     13.46     4.91 127862803     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::begin() const
  3.30     17.17     3.72 2189839128     0.00     0.00  int const& std::max<int>(int const&, int const&)
  3.14     20.71     3.54 553173059     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>) const
  2.97     24.06     3.35 20188178     0.00     0.00  heuristic_value(std::set<int, std::less<int>, std::allocator<int> > const&, int*, int)
  2.93     27.36     3.30 1234404010     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator++()
  2.73     30.44     3.08 2699965708     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  2.70     33.49     3.05 2699965708     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  2.32     36.10     2.61 1362266813     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator!=(std::_Rb_tree_const_iterator<int> const&) const
  1.99     38.34     2.24 1850748795     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator*() const
  1.85     40.42     2.09 264879184     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end() const
  1.80     42.45     2.03 137016381     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_lower_bound(std::_Rb_tree_node<int>*, std::_Rb_tree_node<int>*, int const&)
  1.41     44.03     1.59 392741987     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  1.25     45.44     1.41 10094089     0.00     0.00  find_actions_forward_astar(int, std::set<int, std::less<int>, std::allocator<int> >, std::set<int, std::less<int>, std::allocator<int> >&, std::vector<action, std::allocator<action> >&)::{lambda(node const*, node const*)#1}::operator()(node const*, node const*) const
  1.20     46.79     1.35 42742614     0.00     0.00  bool std::__lexicographical_compare_impl<std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_less_iter)
  1.17     48.11     1.32 115453411     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  1.14     49.40     1.29 242258194     0.00     0.00  std::__deque_buf_size(unsigned long)
  1.14     50.69     1.29 115451776     0.00     0.00  condition::value(int, int, int)
  1.14     51.98     1.29 2699965708     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  1.14     53.26     1.29 821749121     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  1.06     54.46     1.20 646363189     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  1.04     55.63     1.17 86525568     0.00     0.00  action_applicable(variable_action&, int, int, int, std::set<int, std::less<int>, std::allocator<int> >&, action&)
  0.97     56.73     1.10 358335901     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.92     57.76     1.04                             std::_Deque_base<std::set<int, std::less<int>, std::allocator<int> >, std::allocator<std::set<int, std::less<int>, std::allocator<int> > > >::_M_allocate_node()
  0.90     58.78     1.02 137016381     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::find(int const&)
  0.89     59.78     1.00 268757434     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > const&)
  0.86     60.75     0.97 884884699     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  0.82     61.67     0.92 115451875     0.00     0.00  std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> > const&)
  0.73     62.49     0.82 40376358     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.66     63.23     0.74 287006667     0.00     0.00  bool std::__lc_rai<std::bidirectional_iterator_tag, std::bidirectional_iterator_tag>::__cnd2<std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>)
  0.62     63.92     0.70 33231878     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  0.57     64.57     0.65 137172169     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.55     65.19     0.63 337962547     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  0.53     65.79     0.60 453476817     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
  0.53     66.38     0.60 644306484     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.52     66.97     0.59 646363189     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value(std::_Rb_tree_node<int> const*)
  0.47     67.51     0.54 462762598     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.47     68.04     0.54 237206827     0.00     0.00  std::deque<int, std::allocator<int> >::pop_front()
  0.47     68.57     0.53 115451875     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_create_storage(unsigned long)
  0.47     69.10     0.53 237206827     0.00     0.00  std::deque<int, std::allocator<int> >::front()
  0.46     69.62     0.52 277583185     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.44     70.11     0.50 33231878     0.00     0.00  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_<int const&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, int const&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.43     70.60     0.49 247468082     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end()
  0.42     71.07     0.48 257395006     0.00     0.00  bool std::operator==<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
